"The National Center for Health Statistics (NCHS) has published an update to  the International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM) diagnosis codes, which will become effective October 1, 2019.   
The FY 2020 (October 1, 2019-September 30, 2020) Conversion Table for new ICD-10-CM codes is provided to assist users in data retrieval.  For each new code the table shows the effective date and its previously assigned code equivalent.",,
Current code assignment,Effective October 1,Previous Code(s) Assignment
K85.32,2016,K85.3
K85.90,2016,K85.9
K85.91,2016,K85.9
K85.92,2016,K85.9
K86.81,2016,K86.8
K86.89,2016,K86.8
K90.41,2016,K90.4
K90.49,2016,K90.4
K91.30,2017,K91.3
K91.31,2017,K91.3
K91.32,2017,K91.3
K91.870,2016,K91.840
K91.871,2016,K91.841
K91.872,2016,K91.840
K91.873,2016,K91.841
L03.213,2016,H05.011-H05.013; H05.019
L76.31,2016,L76.21
L76.32,2016,L76.22
L76.33,2016,L76.21
L76.34,2016,L76.22
L89.006,2019,L89.000
L89.016,2019,L89.010
L89.026,2019,L89.020
L89.106,2019,L89.100
L89.116,2019,L89.110
L89.126,2019,L89.120
L89.136,2019,L89.130
L89.146,2019,L89.140
L89.156,2019,L89.150
L89.206,2019,L89.200
L89.216,2019,L89.210
L89.226,2019,L89.220
L89.306,2019,L89.300
L89.316,2019,L89.310
L89.326,2019,L89.320
L89.46,2019,L89.45
L89.506,2019,L89.500
L89.516,2019,L89.510
L89.526,2019,L89.520
L89.606,2019,L89.600
L89.616,2019,L89.610
L89.626,2019,L89.620
L89.816,2019,L89.810
L89.896,2019,L89.890
L89.96,2019,L89.95
L97.105,2017,L97.109
L97.106,2017,L97.109
L97.108,2017,L97.109
L97.115,2017,L97.119
L97.116,2017,L97.119
L97.118,2017,L97.119
L97.125,2017,L97.129
L97.126,2017,L97.129
L97.128,2017,L97.129
L97.205,2017,L97.209
L97.206,2017,L97.209
L97.208,2017,L97.209
L97.215,2017,L97.219
L97.216,2017,L97.219
L97.218,2017,L97.219
L97.225,2017,L97.229
L97.226,2017,L97.229
L97.228,2017,L97.229
L97.305,2017,L97.309
L97.306,2017,L97.309
L97.308,2017,L97.309
L97.315,2017,L97.319
L97.316,2017,L97.319
L97.318,2017,L97.319
L97.325,2017,L97.329
L97.326,2017,L97.329
L97.328,2017,L97.329
L97.405,2017,L97.409
L97.406,2017,L97.409
L97.408,2017,L97.409
L97.415,2017,L97.419
L97.416,2017,L97.419
L97.418,2017,L97.419
L97.425,2017,L97.429
L97.426,2017,L97.429
L97.428,2017,L97.429
L97.505,2017,L97.509
L97.506,2017,L97.509
L97.508,2017,L97.509
L97.515,2017,L97.519
L97.516,2017,L97.519
L97.518,2017,L97.519
L97.525,2017,L97.529
L97.526,2017,L97.529
L97.528,2017,L97.529
L97.805,2017,L97.809
L97.806,2017,L97.809
L97.808,2017,L97.809
L97.815,2017,L97.819
L97.816,2017,L97.819
L97.818,2017,L97.819
L97.825,2017,L97.829
L97.826,2017,L97.829
L97.828,2017,L97.829
L97.905,2017,L97.909
L97.906,2017,L97.909
L97.908,2017,L97.909
L97.915,2017,L97.919
L97.916,2017,L97.919
L97.918,2017,L97.919
L97.925,2017,L97.929
L97.926,2017,L97.929
L97.928,2017,L97.929
L98.7,2016,L98.8
L98.415,2017,L98.419
L98.416,2017,L98.419
L98.418,2017,L98.419
L98.425,2017,L98.429
L98.426,2017,L98.429
L98.428,2017,L98.429
L98.495,2017,L98.499
L98.496,2017,L98.499
L98.498,2017,L98.499
M04.1,2016,E85.0
M04.2,2016,L50.2
M04.8,2016,None
M04.9,2016,None
M21.611,2016,M20.11
M21.612,2016,M20.12
M21.619,2016,M20.10
M21.621,2016,M20.11
M21.622,2016,M20.12
M21.629,2016,M20.10
M25.541,2016,M79.641
M25.542,2016,M79.642
M25.549,2016,M79.643
M26.601,2016,M26.60
M26.602,2016,M26.60
M26.603,2016,M26.60
M26.609,2016,M26.60
M26.611,2016,M26.61
M26.612,2016,M26.61
M26.613,2016,M26.61
M26.619,2016,M26.61
M26.621,2016,M26.62
M26.622,2016,M26.62
M26.623,2016,M26.62
M26.629,2016,M26.62
M26.631,2016,M26.63
M26.632,2016,M26.63
M26.633,2016,M26.63
M26.639,2016,M26.63
M33.03,2017,M33.00
M33.13,2017,M33.10
M33.93,2017,M33.90
M48.061,2017,M48.06
M48.062,2017,M48.06
M50.020,2016,M50.02
M50.021,2016,M50.02
M50.022,2016,M50.02
M50.023,2016,M50.02
M50.120,2016,M50.12
M50.121,2016,M50.12
M50.122,2016,M50.12
M50.123,2016,M50.12
M50.220,2016,M50.22
M50.221,2016,M50.22
M50.222,2016,M50.22
M50.223,2016,M50.22
M50.320,2016,M50.32
M50.321,2016,M50.32
M50.322,2016,M50.32
M50.323,2016,M50.32
M50.820,2016,M50.82
M50.821,2016,M50.82
M50.822,2016,M50.82
M50.823,2016,M50.82
M50.920,2016,M50.92
M50.921,2016,M50.92
M50.922,2016,M50.92
M50.923,2016,M50.92
M62.84,2016,R64
M79.10,2018,M79.1
M79.11,2018,M79.1
M79.12,2018,M79.1
M79.18  ,2018,M79.1
M84.750A,2016,"S72.8X1A, S72.8X2A, S72.8X9A"
M84.750D,2016,"S72.8X1D, S72.8X2D, S72.8X9D"
M84.750G,2016,"S72.8X1G, S72.8X2G, S72.8X9G"
M84.750K,2016,"S72.8X1K, S72.8X2K, S72.8X9K"
M84.750P,2016,"S72.8X1P, S72.8X2P, S72.8X9P"
M84.750S,2016,"S72.8X1S, S72.8X2S, S72.8X9S"
M84.751A,2016,"S72.8X1A, S72.8X2A, S72.8X9A"
M84.751D,2016,"S72.8X1D, S72.8X2D, S72.8X9D"
M84.751G,2016,"S72.8X1G, S72.8X2G, S72.8X9G"
M84.751K,2016,"S72.8X1K, S72.8X2K, S72.8X9K"
M84.751P,2016,"S72.8X1P, S72.8X2P, S72.8X9P"
M84.751S,2016,"S72.8X1S, S72.8X2S, S72.8X9S"
M84.752A,2016,"S72.8X1A, S72.8X2A, S72.8X9A"
M84.752D,2016,"S72.8X1D, S72.8X2D, S72.8X9D"
M84.752G,2016,"S72.8X1G, S72.8X2G, S72.8X9G"
M84.752K,2016,"S72.8X1K, S72.8X2K, S72.8X9K"
M84.752P,2016,"S72.8X1P, S72.8X2P, S72.8X9P"
M84.752S,2016,"S72.8X1S, S72.8X2S, S72.8X9S"
M84.753A,2016,"S72.8X1A, S72.8X2A, S72.8X9A"
M84.753D,2016,"S72.8X1D, S72.8X2D, S72.8X9D"
M84.753G,2016,"S72.8X1G, S72.8X2G, S72.8X9G"
M84.753K,2016,"S72.8X1K, S72.8X2K, S72.8X9K"
M84.753P,2016,"S72.8X1P, S72.8X2P, S72.8X9P"
M84.753S,2016,"S72.8X1S, S72.8X2S, S72.8X9S"
M84.754A,2016,"S72.8X1A, S72.8X2A, S72.8X9A"
M84.754D,2016,"S72.8X1D, S72.8X2D, S72.8X9D"
M84.754G,2016,"S72.8X1G, S72.8X2G, S72.8X9G"
M84.754K,2016,"S72.8X1K, S72.8X2K, S72.8X9K"
M84.754P,2016,"S72.8X1P, S72.8X2P, S72.8X9P"
M84.754S,2016,"S72.8X1S, S72.8X2S, S72.8X9S"
M84.755A,2016,"S72.8X1A, S72.8X2A, S72.8X9A"
M84.755D,2016,"S72.8X1D, S72.8X2D, S72.8X9D"
M84.755G,2016,"S72.8X1G, S72.8X2G, S72.8X9G"
M84.755K,2016,"S72.8X1K, S72.8X2K, S72.8X9K"
M84.755P,2016,"S72.8X1P, S72.8X2P, S72.8X9P"
M84.755S,2016,"S72.8X1S, S72.8X2S, S72.8X9S"
M84.756A,2016,"S72.8X1A, S72.8X2A, S72.8X9A"
M84.756D,2016,"S72.8X1D, S72.8X2D, S72.8X9D"
M84.756G,2016,"S72.8X1G, S72.8X2G, S72.8X9G"
M84.756K,2016,"S72.8X1K, S72.8X2K, S72.8X9K"
M84.756P,2016,"S72.8X1P, S72.8X2P, S72.8X9P"
M84.756S,2016,"S72.8X1S, S72.8X2S, S72.8X9S"
M84.757A,2016,"S72.8X1A, S72.8X2A, S72.8X9A"
M84.757D,2016,"S72.8X1D, S72.8X2D, S72.8X9D"
M84.757G,2016,"S72.8X1G, S72.8X2G, S72.8X9G"
M84.757K,2016,"S72.8X1K, S72.8X2K, S72.8X9K"
M84.757P,2016,"S72.8X1P, S72.8X2P, S72.8X9P"
M84.757S,2016,"S72.8X1S, S72.8X2S, S72.8X9S"
M84.759A,2016,"S72.8X1A, S72.8X2A, S72.8X9A"
M84.759D,2016,"S72.8X1D, S72.8X2D, S72.8X9D"
M84.759G,2016,"S72.8X1G, S72.8X2G, S72.8X9G"
M84.759K,2016,"S72.8X1K, S72.8X2K, S72.8X9K"
M84.759P,2016,"S72.8X1P, S72.8X2P, S72.8X9P"
M84.759S,2016,"S72.8X1S, S72.8X2S, S72.8X9S"
M96.840,2016,M96.830
M96.841,2016,M96.831
M96.842,2016,M96.830
M96.843,2016,M96.831
M97.01XA,2016,T84.040A
M97.01XD,2016,T84.040D
M97.01XS,2016,T84.040S
M97.02XA,2016,T84.041A
M97.02XD,2016,T84.041D
M97.02XS,2016,T84.041S
M97.11XA,2016,T84.042A
M97.11XD,2016,T84.042D
M97.11XS,2016,T84.042S
M97.12XA,2016,T84.043A
M97.12XD,2016,T84.043D
M97.12XS,2016,T84.043S
M97.21XA,2016,T84.048A
M97.21XD,2016,T84.048D
M97.21XS,2016,T84.048S
M97.22XA,2016,T84.048A
M97.22XD,2016,T84.048D
M97.22XS,2016,T84.048S
M97.31XA,2016,T84.048A
M97.31XD,2016,T84.048D
M97.31XS,2016,T84.048S
M97.32XA,2016,T84.048A
M97.32XD,2016,T84.048D
M97.32XS,2016,T84.048S
M97.41XA,2016,T84.048A
M97.41XD,2016,T84.048D
M97.41XS,2016,T84.048S
M97.42XA,2016,T84.048A
M97.42XD,2016,T84.048D
M97.42XS,2016,T84.048S
M97.8XXA,2016,T84.048A
M97.8XXD,2016,T84.048D
M97.8XXS,2016,T84.048D
M97.9XXA,2016,T84.049A
M97.9XXD,2016,T84.049D
M97.9XXS,2016,T84.049S
N13.0,2016,N13.1
N35.016,2018,N35.014
N35.116,2018,N35.114
N35.811,2018,N35.8
N35.812,2018,N35.8
N35.813,2018,N35.8
N35.814,2018,N35.8
N35.816,2018,N35.8
N35.819,2018,N35.8
N35.82,2018,N35.8
N35.911,2018,N35.9
N35.912,2018,N35.9
N35.913,2018,N35.9
N35.914,2018,N35.9
N35.916,2018,N35.9
N35.919,2018,N35.9
N35.92,2018,N35.9
N39.491,2016,N39.498
N39.492,2016,N39.498
N42.30,2016,N42.3
N42.31,2016,N42.3
N42.32,2016,N42.3
N42.39,2016,N42.3
N50.811,2016,N50.8
N50.812,2016,N50.8
N50.819,2016,N50.8
N50.82,2016,N50.8
N50.89,2016,N50.8
N52.35,2016,N52.39
N52.36,2016,N52.39
N52.37,2016,N52.39
N61.0,2016,N61
N61.1,2016,N61
N63.0,2017,N63
N63.10,2017,N63
N63.11,2017,N63
N63.12,2017,N63
N63.13,2017,N63
N63.14,2017,N63
N63.15,2019,N63.11-N63.14
N63.20,2017,N63
N63.21,2017,N63
N63.22,2017,N63
N63.23,2017,N63
N63.24,2017,N63
N63.25,2019,N63.21-N63.24
N63.31,2017,N63
N63.32,2017,N63
N63.41,2017,N63
N63.42,2017,N63
N83.00,2016,N83.0
N83.01,2016,N83.0
N83.02,2016,N83.0
N83.10,2016,N83.1
N83.11,2016,N83.1
N83.12,2016,N83.1
N83.201,2016,N83.20
N83.202,2016,N83.20
N83.209,2016,N83.20
N83.291,2016,N83.29
N83.292,2016,N83.29
N83.299,2016,N83.29
N83.311,2016,N83.31
N83.312,2016,N83.31
N83.319,2016,N83.31
N83.321,2016,N83.32
N83.322,2016,N83.32
N83.329,2016,N83.32
N83.331,2016,N83.33
N83.332 ,2016,N83.33
N83.339,2016,N83.33
N83.40,2016,N83.4
N83.41,2016,N83.4
N83.42,2016,N83.4
N83.511,2016,N83.51
N83.512,2016,N83.51
N83.519,2016,N83.51
N83.521,2016,N83.52
N83.522,2016,N83.52
N83.529,2016,N83.52
N90.60,2016,N90.6
N90.61,2016,N90.6
N90.69,2016,N90.6
N94.10,2016,N94.1
N94.11,2016,N94.1
N94.12,2016,N94.1
N94.19,2016,N94.1
N99.115,2016,N99.114
N99.116,2018,N99.114
N99.523,2016,N99.528
N99.524,2016,N99.528
N99.533,2016,N99.538
N99.534,2016,N99.538
N99.840,2016,N99.820
N99.841,2016,N99.821
N99.842,2016,N99.820
N99.843,2016,N99.821
N99.85,2019,N99.89
O00.00,2016,O00.0
O00.01,2016,O00.0
O00.10,2016,O00.1
O00.101,2017,O00.10
O00.102,2017,O00.10
O00.109,2017,O00.10
O00.11,2016,O00.1
O00.111,2017,O00.11
O00.112,2017,O00.11
O00.119,2017,O00.11
O00.20,2016,O00.2
O00.201,2017,O00.20
O00.202,2017,O00.20
O00.209,2017,O00.20
O00.21,2016,O00.2
O00.211,2017,O00.21
O00.212,2017,O00.21
O00.219,2017,O00.21
O00.80,2016,O00.8
O00.81,2016,O00.8
O00.90,2016,O00.9
O00.91,2016,O00.9
O09.A0,2016,O09.10
O09.A1,2016,O09.11
O09.A2,2016,O09.12
O09.A3,2016,O09.13
O11.4,2016,O11.9
O11.5,2016,O11.9
O12.04,2016,O12.00
O12.05,2016,O12.00
O12.14,2016,O12.10
O12.15,2016,O12.10
O12.24,2016,O12.20
O12.25,2016,O12.20
O13.4,2016,O13.9
O13.5,2016,O13.9
O14.04,2016,O14.00
O14.05,2016,O14.00
O14.14 ,2016,O14.10
O14.15,2016,O14.10
O14.24,2016,O14.20
O14.25,2016,O14.20
O14.94,2016,O14.90
O14.95,2016,O14.90
O16.4,2016,O16.9
O16.5,2016,O16.9
O24.415,2016,O24.419
O24.425,2016,O24.429
O24.435,2016,O24.439
O30.131,2018,O30.101
O30.132,2018,O30.101
O30.133,2018,O30.101
O30.139,2018,O30.101
O30.231,2018,O30.201
O30.232,2018,O30.201
O30.233,2018,O30.201
O30.239,2018,O30.201
O30.831,2018,O30.801
O30.832,2018,O30.801
O30.833,2018,O30.801
O30.839,2018,O30.801
O33.7XX0,2016,O33.7
O33.7XX1,2016,O33.7
O33.7XX2,2016,O33.7
O33.7XX3,2016,O33.7
O33.7XX4,2016,O33.7
O33.7XX5,2016,O33.7
O33.7XX9,2016,O33.7
O34.211,2016,O34.21
O34.212,2016,O34.21
O34.219,2016,O34.21
O36.8310,2017,O36.8910
O36.8311,2017,O36.8911
O36.8312,2017,O36.8912
O36.8313,2017,O36.8913
O36.8314,2017,O36.8914
O36.8315,2017,O36.8915
O36.8319,2017,O36.8919
O36.8320,2017,O36.8920
O36.8321,2017,O36.8921
O36.8322,2017,O36.8922
O36.8323,2017,O36.8923
O36.8324,2017,O36.8924
O36.8325,2017,O36.8925
O36.8329,2017,O36.8929
O36.8330,2017,O36.8930
O36.8331,2017,O36.8931
O36.8332,2017,O36.8932
O36.8333,2017,O36.8933
O36.8334,2017,O36.8934
O36.8335,2017,O36.8935
O36.8339,2017,O36.8939
O36.8390,2017,O36.8990
O36.8391,2017,O36.8991
O36.8392,2017,O36.8992
O36.8393,2017,O36.8993
O36.8394,2017,O36.8994
O36.8395,2017,O36.8995
O36.8399,2017,O36.8999
O44.20,2016,O44.00
O44.20,2016,O44.00
O44.21,2016,O44.01
O44.21,2016,O44.01
O44.22,2016,O44.02
O44.22,2016,O44.02
O44.23,2016,O44.03
O44.23,2016,O44.03
O44.30,2016,O44.10
O44.30,2016,O44.10
O44.31,2016,O44.11
O44.31,2016,O44.11
O44.32,2016,O44.12
O44.32,2016,O44.12
O44.33,2016,O44.13
O44.33,2016,O44.13
O44.40,2016,O44.00
O44.41,2016,O44.01
O44.42,2016,O44.02
O44.43,2016,O44.03
O44.50,2016,O44.10
O44.51,2016,O44.11
O44.52,2016,O44.12
O44.53,2016,O44.13
O70.20,2016,O70.2
O70.21,2016,O70.2
O70.22,2016,O70.2
O70.23,2016,O70.2
O86.00,2018,O86.0
O86.01,2018,O86.0
O86.02,2018,O86.0
O86.03,2018,O86.0
O86.04,2018,O86.0
O86.09,2018,O86.0
P02.70,2018,P02.7
P02.78,2018,P02.7
P04.11,2018,P04.1
P04.12,2018,P04.1
P04.13,2018,P04.1
P04.14,2018,P04.1
P04.15,2018,P04.1
P04.16,2018,P04.1
P04.17,2018,P04.1
P04.1A,2018,P04.1
P04.18,2018,P04.1
P04.19,2018,P04.1
P04.40,2018,P04.49
P04.42,2018,P04.49
P04.81,2018,P04.8
P04.89,2018,P04.8
P05.09,2016,None
P05.19,2016,None
P29.30,2017,P29.3
P29.38,2017,P29.3
P35.4,2018,P35.8 and A92.5
P74.21,2018,P74.2
P74.22,2018,P74.2
P74.31,2018,P74.3
P74.32,2018,P74.3
P74.41,2018,P74.4
P74.421,2018,P74.4
P74.422,2018,P74.4
P74.49,2018,P74.4
P78.84,2017,P78.89; E83.118
P83.81,2017,L92.9
P83.88,2017,P83.8
P91.811,2017,P91.8
P91.819,2017,P91.8
P91.88,2017,P91.8
Q25.21,2016,Q25.2
Q25.29,2016,Q25.2
Q25.40,2016,Q25.4
Q25.41,2016,Q25.4
Q25.42,2016,Q25.4
Q25.43,2016,Q25.4
Q25.44,2016,Q25.4
Q25.45,2016,Q25.4
Q25.46,2016,Q25.4
Q25.47,2016,Q25.4
Q25.48,2016,Q25.4
Q25.49,2016,Q25.4
Q51.20,2018,Q51.2
Q51.21,2018,Q51.2
Q51.22,2018,Q51.2
Q51.28,2018,Q51.2
Q52.120,2016,Q25.12
Q52.121,2016,Q25.12
Q52.122,2016,Q25.12
Q52.123,2016,Q25.12
Q52.124,2016,Q25.12
Q52.129,2016,Q25.12
Q53.111,2017,Q53.11
Q53.112,2017,Q53.11
Q53.13,2017,Q53.11
Q53.211,2017,Q53.21
Q53.212,2017,Q53.21
Q53.23,2017,Q53.21
Q66.00,2019,Q66.0
Q66.01,2019,Q66.0
Q66.02,2019,Q66.0
Q66.10,2019,Q66.1
Q66.11,2019,Q66.1
Q66.12,2019,Q66.1
Q66.21,2016,Q66.2
Q66.211,2019,Q66.21
Q66.212,2019,Q66.21
Q66.219,2019,Q66.21
Q66.22,2016,Q66.2
Q66.221,2019,Q66.22
Q66.222,2019,Q66.22
Q66.229,2019,Q66.22
Q66.30,2019,Q66.3
Q66.31,2019,Q66.3
Q66.32,2019,Q66.3
Q66.40,2019,Q66.4
Q66.41,2019,Q66.4
Q66.42,2019,Q66.4
Q66.70,2019,Q66.7
Q66.71,2019,Q66.7
Q66.72,2019,Q66.7
Q66.90,2019,Q66.9
Q66.91,2019,Q66.9
Q66.92,2019,Q66.9
Q79.60,2019,Q79.6
Q79.61,2019,Q79.6
Q79.62,2019,Q79.6
Q79.63,2019,Q79.6
Q79.69,2019,Q79.6
Q82.6,2016,"L05.01, L05.91"
Q87.11,2019,Q87.1
Q87.19,2019,Q87.1
Q87.82,2016,Q87.89
Q93.51,2018,Q93.5
Q93.59,2018,Q93.5
Q93.82,2018,Q93.89
R06.03,2017,R06.00
R11.15,2019,K31.89 and a code from R11-
R29.700,2016,None
R29.701,2016,None
R29.702,2016,None
R29.703,2016,None
R29.704,2016,None
R29.705,2016,None
R29.706,2016,None
R29.707,2016,None
R29.708,2016,None
R29.709,2016,None
R29.710,2016,None
R29.711,2016,None
R29.712,2016,None
R29.713,2016,None
R29.714,2016,None
R29.715,2016,None
R29.716,2016,None
R29.717,2016,None
R29.718,2016,None
R29.719,2016,None
R29.720,2016,None
R29.721,2016,None
R29.722,2016,None
R29.723,2016,None
R29.724,2016,None
R29.725,2016,None
R29.726,2016,None
R29.727,2016,None
R29.728,2016,None
R29.729,2016,None
R29.730,2016,None
R29.731,2016,None
R29.732,2016,None
R29.733,2016,None
R29.734,2016,None
R29.735,2016,None
R29.736,2016,None
R29.737,2016,None
R29.738,2016,None
R29.739,2016,None
R29.740,2016,None
R29.741,2016,None
R29.742,2016,None
R31.21,2016,R31.2
R31.29,2016,R31.2
R39.191,2016,R31.19
R39.192,2016,R31.19
R39.198,2016,R31.19
R39.82,2016,R39.89
R39.83,2017,R39.89
R39.84,2017,R39.89
R40.2410,2016,R40.241
R40.2411,2016,R40.241
R40.2412,2016,R40.241
R40.2413,2016,R40.241
R40.2414,2016,R40.241
R40.2420,2016,R40.242
R40.2421,2016,R40.242
R40.2422,2016,R40.242
R40.2423,2016,R40.242
R40.2424,2016,R40.242
R40.2430,2016,R40.243
R40.2431,2016,R40.243
R40.2432,2016,R40.243
R40.2433,2016,R40.243
R40.2434,2016,R40.243
R40.2440,2016,R40.244
R40.2441,2016,R40.244
R40.2442,2016,R40.244
R40.2443,2016,R40.244
R40.2444,2016,R40.244
R73.03,2016,R73.09
R82.71,2016,R82.7
R82.79,2016,R82.7
R82.81,2019,R82.8
R82.89,2019,R82.8
R82.991,2018,R82.99
R82.992,2018,R82.99
R82.993,2018,R82.99
R82.994,2018,R82.99
R82.998,2018,R82.99
R93.41,2016,R93.4
R93.421,2016,R93.4
R93.422,2016,R93.4
R93.429,2016,R93.4
R93.49,2016,R93.4
R93.811,2018,R93.8
R93.812,2018,R93.8
R93.813,2018,R93.8
R93.819,2018,R93.8
R93.89,2018,R93.8
R97.20,2016,R97.2
R97.21,2016,R97.2
S02.101A,2016,S02.10XA
S02.101B,2016,S02.10XB
S02.101D,2016,S02.10XD
S02.101G,2016,S02.10XG
S02.101K,2016,S02.10XK
S02.101S,2016,S02.10XS
S02.102A,2016,S02.10XA
S02.102B,2016,S02.10XB
S02.102D,2016,S02.10XD
S02.102G,2016,S02.10XG
S02.102K,2016,S02.10XK
S02.102S,2016,S02.10XS
S02.109A,2016,S02.10XA
S02.109B,2016,S02.10XB
S02.109D,2016,S02.10XD
S02.109G,2016,S02.10XG
S02.109K,2016,S02.10XK
S02.109S,2016,S02.10XS
S02.11AA,2016,S02.110A
S02.11AB,2016,S02.110B
S02.11AD,2016,S02.110D
S02.11AG,2016,S02.110G
S02.11AK,2016,S02.110K
S02.11AS,2016,S02.110S
S02.11BA,2016,S02.110A
S02.11BB,2016,S02.110B
S02.11BD,2016,S02.110D
S02.11BG,2016,S02.110G
S02.11BK,2016,S02.110K
S02.11BS,2016,S02.110S
S02.11CA,2016,S02.111A
S02.11CB,2016,S02.111B
S02.11CD,2016,S02.111D
S02.11CG,2016,S02.111G
S02.11CK,2016,S02.111K
S02.11CS,2016,S02.111S
S02.11DA,2016,S02.111A
S02.11DB,2016,S02.111B
S02.11DD,2016,S02.111D
S02.11DG,2016,S02.111G
S02.11DK,2016,S02.111K
S02.11DS,2016,S02.111S
S02.11EA,2016,S02.112A
S02.11EB,2016,S02.112B
S02.11ED,2016,S02.112D
S02.11EG,2016,S02.112G
S02.11EK,2016,S02.112K
S02.11ES,2016,S02.112S
S02.11FA,2016,S02.112A
S02.11FB,2016,S02.112B
S02.11FD,2016,S02.112D
S02.11FG,2016,S02.112G
S02.11FK,2016,S02.112K
S02.11FS,2016,S02.112S
S02.11GA,2016,S02.118A
S02.11GB,2016,S02.118B
S02.11GD,2016,S02.118D
S02.11GG,2016,S02.118G
S02.11GK,2016,S02.118K
S02.11GS,2016,S02.118S
S02.11HA,2016,S02.118A
S02.11HB,2016,S02.118B
S02.11HD,2016,S02.118D
S02.11HG,2016,S02.118G
S02.11HK,2016,S02.118K
S02.11HS,2016,S02.118S
S02.121A,2019,S02.19A
S02.121B,2019,S02.19B
S02.121D,2019,S02.19D
S02.121G,2019,S02.19G
S02.121K,2019,S02.19K
S02.121S,2019,S02.19S
S02.122A,2019,S02.19A
S02.122B,2019,S02.19B
S02.122D,2019,S02.19D
S02.122G,2019,S02.19G
S02.122K,2019,S02.19K
S02.122S,2019,S02.19S
S02.129A,2019,S02.19A
S02.129B,2019,S02.19B
S02.129D,2019,S02.19D
S02.129G,2019,S02.19G
S02.129K,2019,S02.19K
S02.129S,2019,S02.19S
S02.30XA,2016,S02.3XXA
S02.30XB,2016,S02.3XXB
S02.30XD,2016,S02.3XXD
S02.30XG,2016,S02.3XXG
S02.30XK,2016,S02.3XXK
S02.30XS,2016,S02.3XXS
S02.31XA,2016,S02.3XXA
S02.31XB,2016,S02.3XXB
S02.31XD,2016,S02.3XXD
S02.31XG,2016,S02.3XXG
S02.31XK,2016,S02.3XXK
S02.31XS,2016,S02.3XXS
S02.32XA,2016,S02.3XXA
S02.32XB,2016,S02.3XXB
S02.32XD,2016,S02.3XXD
S02.32XG,2016,S02.3XXG
S02.32XK,2016,S02.3XXK
S02.32XS,2016,S02.3XXS
S02.40AA,2016,S02.400A
S02.40AB,2016,S02.400B
S02.40AD,2016,S02.400D
S02.40AG,2016,S02.400G
S02.40AK,2016,S02.400K
S02.40AS,2016,S02.400S
S02.40BA,2016,S02.400A
S02.40BB,2016,S02.400B
S02.40BD,2016,S02.400D
S02.40BG,2016,S02.400G
S02.40BK,2016,S02.400K
S02.40BS,2016,S02.400S
S02.40CA,2016,S02.401A
S02.40CB,2016,S02.401B
S02.40CD,2016,S02.401D
S02.40CG,2016,S02.401G
S02.40CK,2016,S02.401K
S02.40CS,2016,S02.401S
S02.40DA,2016,S02.401A
S02.40DB,2016,S02.401B
S02.40DD,2016,S02.401D
S02.40DG,2016,S02.401G
S02.40DK,2016,S02.401K
S02.40DS,2016,S02.401S
S02.40EA,2016,S02.402A
S02.40EB,2016,S02.402B
S02.40ED,2016,S02.402D
S02.40EG,2016,S02.402G
S02.40EK,2016,S02.402K
S02.40ES,2016,S02.402S
S02.40FA,2016,S02.402A
S02.40FB,2016,S02.402B
S02.40FD,2016,S02.402D
S02.40FG,2016,S02.402G
S02.40FK,2016,S02.402K
S02.40FS,2016,S02.402S
S02.601A,2016,S02.600A
S02.601B,2016,S02.600B
S02.601D,2016,S02.600D
S02.601G,2016,S02.600G
S02.601K,2016,S02.600K
S02.601S,2016,S02.600S
S02.602A,2016,S02.600A
S02.602B,2016,S02.600B
S02.602D,2016,S02.600D
S02.602G,2016,S02.600G
S02.602K,2016,S02.600K
S02.602S,2016,S02.600S
S02.610A,2016,S02.61XA
S02.610B,2016,S02.61XB
S02.610D,2016,S02.61XD
S02.610G,2016,S02.61XG
S02.610K,2016,S02.61XK
S02.610S,2016,S02.61XS
S02.611A,2016,S02.61XA
S02.611B,2016,S02.61XB
S02.611D,2016,S02.61XD
S02.611G,2016,S02.61XG
S02.611K,2016,S02.61XK
S02.611S,2016,S02.61XS
S02.612A,2016,S02.61XA
S02.612B,2016,S02.61XB
S02.612D,2016,S02.61XD
S02.612G,2016,S02.61XG
S02.612K,2016,S02.61XK
S02.612S,2016,S02.61XS
S02.620A,2016,S02.62XA
S02.620B,2016,S02.62XB
S02.620D,2016,S02.62XD
S02.620G,2016,S02.62XG
S02.620K,2016,S02.62XK
S02.620S,2016,S02.62XS
S02.621A,2016,S02.62XA
S02.621B,2016,S02.62XB
S02.621D,2016,S02.62XD
S02.621G,2016,S02.62XG
S02.621K,2016,S02.62XK
S02.621S,2016,S02.62XS
S02.622A,2016,S02.62XA
S02.622B,2016,S02.62XB
S02.622D,2016,S02.62XD
S02.622G,2016,S02.62XG
S02.622K,2016,S02.62XK
S02.622S,2016,S02.62XS
S02.630A,2016,S02.63XA
S02.630B,2016,S02.63XB
S02.630D,2016,S02.63XD
S02.630G,2016,S02.63XG
S02.630K,2016,S02.63XK
S02.630S,2016,S02.63XS
S02.631A,2016,S02.63XA
S02.631B,2016,S02.63XB
S02.631D,2016,S02.63XD
S02.631G,2016,S02.63XG
S02.631K,2016,S02.63XK
S02.631S,2016,S02.63XS
S02.632A,2016,S02.63XA
S02.632B,2016,S02.63XB
S02.632D,2016,S02.63XD
S02.632G,2016,S02.63XG
S02.632K,2016,S02.63XK
S02.632S,2016,S02.63XS
